#1.2,,,,,,,,,,,,,,,,,,,,,,,,
4952,23,,,,,,,,,,,,,,,,,,,,,,,
Name,Description,Intensity NOT_BCellmemory,Intensity NOT_BCellnaive,Intensity NOT_BCellplasma,Intensity NOT_CD4TCellTcm,Intensity NOT_CD4TCellTem,Intensity NOT_CD4TCellTemra,Intensity NOT_CD4TCellTh1,Intensity NOT_CD4TCellTh17,Intensity NOT_CD4TCellTh2,Intensity NOT_CD4TCellmTregs,Intensity NOT_CD4TCellnTregs,Intensity NOT_CD4TCellnaive,Intensity NOT_CD8TCellTcm,Intensity NOT_CD8TCellTem,Intensity NOT_CD8TCellTemra,Intensity NOT_CD8TCellnaive,Intensity NOT_DendriticCD1c,Intensity NOT_DendriticCD304,Intensity NOT_Monocytesclassical,Intensity NOT_Monocytesintermediate,Intensity NOT_Monocytesnonclassical,Intensity NOT_NKCellsCD56bright,Intensity NOT_NKCellsCD56dim
P19474,na,733955000,339485000,23139500,1531100000,1340450000,407975000,803700000,1500050000,1737600000,1333350000,806720000,1060140000,1371300000,1054950000,908450000,714875000,1164700000,834825000,1010115000,3525850000,3359250000,1001995000,1133595000
P27694,na,5630050000,1816450000,182485000,11655300000,13222500000,3406400000,4056500000,12468500000,7209400000,9775400000,8593300000,8149050000,12840400000,8473300000,7474050000,12253500000,7087750000,11490500000,1026115000,4705650000,3893300000,11573000000,8971800000
Q8IUR7,na,416815000,257665000,1726150,1078000000,1303100000,300885000,312045000,1220800000,772680000,1795900000,675630000,701365000,1250550000,1003075000,1013575000,721975000,807995000,1837600000,291675000,1192500000,1265500000,1074800000,837075000
Q9UBF2,na,745930000,243755000,9149050,1355200000,1509750000,209800000,214660000,1421950000,699500000,1361700000,491525000,836785000,907290000,747250000,896630000,847815000,3111100000,1660850000,1502200000,3313050000,3130200000,1020740000,590425000
Q9UBW8,na,108271000,33532000,10587900,217855000,211815000,113975000,115120000,211605000,157770000,336295000,107304500,133244000,237185000,242325000,299285000,193840000,290155000,341750000,49850500,256890000,291400000,169250000,216145000
Q49AR2,na,148470000,29053000,2709100,176830000,140060000,32209500,62319000,105174500,150519500,195545000,89690500,110825000,211330000,78977000,64210000,107659500,39183000,153605000,45484500,163040000,207330000,158946500,92729000
O76094,na,1945950000,927175000,390005000,7803800000,5411100000,1643300000,6009200000,6324150000,5982950000,8570400000,3553000000,9502050000,6281650000,3736100000,8903800000,4044400000,4933150000,13770000000,1146050000,3847400000,4221150000,9229100000,3428800000
P34910,na,295160000,152225000,24429000,594045000,647460000,107266000,151870000,805200000,659170000,451180000,238115000,485775000,474635000,326975000,313075000,453955000,1294850000,1150100000,1151700000,2304950000,4833150000,385515000,471655000
P57729,na,0,1403300,0,6902300,4881550,0,9315550,1653700,4918750,0,0,3813950,0,0,1963400,0,0,0,0,0,0,256305000,0
O00534,na,327345000,49795500,7493550,234060000,251250000,61687500,103958500,234210000,167860000,499765000,277775000,202300000,98084500,55321500,140850000,257665000,170905000,341685000,110130000,178625000,153630000,372370000,450180000
O75955,na,1834750000,785590000,96202500,3553350000,2334550000,1171495000,996710000,2470500000,3868600000,953445000,5997350000,4492650000,7485050000,4234950000,5372050000,4890900000,4720700000,6392600000,2827550000,4865550000,4274600000,10527500000,6990950000
Q969E4,na,233785000,119870000,1901600,338045000,179930000,167150000,113572000,185915000,259530000,250845000,222925000,273090000,197060000,269240000,200985000,317090000,316240000,244100000,74054000,219265000,71515500,289690000,186590000
